Comments,Lane number,Date,business,senior,family,young,PRM,regular,Experience,Time Start Baggage drop off,Number of boxes,Time End Baggage drop off,Time Start WTMD,Time Start WTMD 2,Time Start WTMD 3,Time Start WTMD check,Time End WTMD check,Time Start ETD check,Time End ETD check,Time Start Baggage reclaim,Time End Baggage reclaim,Group size,Time Start Baggage Check,Time End Baggage Check,source_sheet,Time Start Baggage drop off_sec,Time End Baggage drop off_sec,Time Start WTMD_sec,Time Start WTMD 2_sec,Time Start WTMD 3_sec,Time Start WTMD check_sec,Time End WTMD check_sec,Time Start ETD check_sec,Time End ETD check_sec,Time Start Baggage reclaim_sec,Time End Baggage reclaim_sec,Time Start Baggage Check_sec,Time End Baggage Check_sec,checkpoint_time,drop_time,wait_I,collect_time,patdown_time,etd_time,baggage_check_time,has_second_wtmd,has_third_wtmd,has_patdown,has_etd,has_baggage_check,passenger_type
"2x wtmd, shoes",3,2/23/2018 0:00,0,0,0,0,0,1,0,50408,1,50526,50535,50536,,,,,,50552,50732,2,,,2018_02_23,18248,18326,18335,18336,,,,,,18352,18452,,,204,78,9,100,,,,1,0,0,0,0,regular
,3,2/23/2018 0:00,0,0,0,0,0,1,0,50410,2,50538,50555,,,,,50601,50608,50610,50753,2,,,2018_02_23,18250,18338,18355,,,,,18361,18368,18370,18473,,,223,88,17,103,,7,,0,0,0,1,0,regular
,3,2/23/2018 0:00,0,0,0,0,0,1,0,50654,1,50719,50721,,,,,,,50735,50814,2,,,2018_02_23,18414,18439,18441,,,,,,,18455,18494,,,80,25,2,39,,,,0,0,0,0,0,regular
2x wtmd,3,2/23/2018 0:00,0,0,0,0,0,1,0,50654,2,50723,50727,50728,,,,50741,50748,50758,50859,2,,,2018_02_23,18414,18443,18447,18448,,,,18461,18468,18478,18539,,,125,29,4,61,,7,,1,0,0,1,0,regular
,3,2/23/2018 0:00,1,0,0,0,0,1,1,51008,1,51054,51057,,,,,,,51115,51213,1,,,2018_02_23,18608,18654,18657,,,,,,,18675,18733,,,125,46,3,58,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,0,0,0,0,0,1,0,51008,1,51047,51052,,,,,,,551112,51211,1,,,2018_02_23,18608,18647,18652,,,,,,,,18731,,,123,39,5,,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,0,0,0,0,0,1,1,51009,1,51056,51109,,,,,,,51137,51238,1,,,2018_02_23,18609,18656,18669,,,,,,,18697,18758,,,149,47,13,61,,,,0,0,0,0,0,regular
,3,2/23/2018 0:00,1,0,0,0,0,0,1,51010,1,51115,51118,,,,,,,51208,51228,1,,,2018_02_23,18610,18675,18678,,,,,,,18728,18748,,,138,65,3,20,,,,0,0,0,0,0,business
mom + kid (one kid),3,2/23/2018 0:00,0,0,1,0,0,0,0,51023,2,51107,51138,,,,,,,51222,51315,3,,,2018_02_23,18623,18667,18698,,,,,,,18742,18795,,,172,44,31,53,,,,0,0,0,0,0,family
man + child in familiy with mother. X-ray partial check again,3,2/23/2018 0:00,0,0,1,0,0,0,0,51100,1,51125,51142,,,,,,,51218,51410,3,51240,51325,2018_02_23,18660,18685,18702,,,,,,,18738,18850,18760,18805,190,25,17,112,,,45,0,0,0,0,1,family
,3,2/23/2018 0:00,1,0,0,0,0,1,1,51224,2,51255,51302,,,,,,,51322,51350,1,,,2018_02_23,18744,18775,18782,,,,,,,18802,18830,,,86,31,7,28,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,1,0,0,0,0,0,1,51234,4,51335,51342,,,,,,,51349,51510,1,,,2018_02_23,18754,18815,18822,,,,,,,18829,18910,,,156,61,7,81,,,,0,0,0,0,0,business
,3,2/23/2018 0:00,0,1,0,0,0,0,1,51415,1,51440,51444,,,,,,,51506,51555,2,51529,51547,2018_02_23,18855,18880,18884,,,,,,,18906,18955,18929,18947,100,25,4,49,,,18,0,0,0,0,1,senior
,3,2/23/2018 0:00,0,1,0,0,0,0,1,51427,1,51456,51505,,,,,,,51514,51607,2,,,2018_02_23,18867,18896,18905,,,,,,,18914,18967,,,100,29,9,53,,,,0,0,0,0,0,senior
wheelchair + one assistent (not from airport). Senior couple. PRM wtmd time 051717 (PRM goes past wtmd). First wtmd time for supervisor is 051741. Supervisor has to de a recheck. Box rescan.,3,2/23/2018 0:00,0,1,0,0,1,0,0,51559,3,51702,51717,,,51725,51752,,,51800,52153,2,51802,51951,2018_02_23,18959,19022,19037,,,19045,19072,,,19080,19313,19082,19191,354,63,15,233,27,,109,0,0,1,0,1,senior
