iter	TotalF1	MultiClass
0	0.6660103509	1.347903651
1	0.6762373827	1.315423468
2	0.6661479317	1.281162238
3	0.6618062962	1.249897119
4	0.6786131396	1.219523438
5	0.6839915985	1.195261604
6	0.6817327492	1.174124248
7	0.6796821672	1.150926284
8	0.6869767801	1.128084798
9	0.6829946213	1.10786222
10	0.6841957362	1.086630125
11	0.6788377145	1.069653394
12	0.6840825668	1.053705519
13	0.6820413933	1.038583047
14	0.6833078004	1.024590305
15	0.683131774	1.011630037
16	0.6799244854	0.9965465263
17	0.6807846763	0.9812590564
18	0.6828806189	0.9673725404
19	0.6814811216	0.9556811053
20	0.683826032	0.9447706724
21	0.6828806189	0.9327158417
22	0.6828806189	0.924142771
23	0.6854123633	0.9141775686
24	0.685005495	0.9051634962
25	0.6852245024	0.8974111875
26	0.6814148011	0.8875808387
27	0.6849499529	0.8774000563
28	0.6867835618	0.869882354
29	0.6853118295	0.8612674783
30	0.6844642636	0.8540540618
31	0.6837648784	0.8463640124
32	0.6843862698	0.8382196152
33	0.6854296857	0.8313311301
34	0.6854623782	0.8264075125
35	0.6897230775	0.8191921313
36	0.687201183	0.8122409123
37	0.6905776968	0.8040459392
38	0.693061929	0.7973526738
39	0.6951121445	0.7902292961
40	0.6991048418	0.7857707777
41	0.6987083998	0.7806064613
42	0.6982695392	0.774888096
43	0.6968159246	0.7691129276
44	0.6987083998	0.7638816287
45	0.6983067197	0.7587533109
46	0.7024783733	0.7545091012
47	0.7006981003	0.7508911533
48	0.6969782036	0.7457922796
49	0.7023058893	0.7403598121
50	0.701309901	0.7382135752
51	0.6997799257	0.7356769052
52	0.6991095469	0.7320575606
53	0.7019892348	0.7268054731
54	0.7015370618	0.7237080901
55	0.7041085042	0.7196754471
56	0.7017951218	0.7161679567
57	0.7053099756	0.7136393933
58	0.6995025985	0.7094408588
59	0.7006415911	0.7071709282
60	0.7031788372	0.7042831522
61	0.7035593858	0.7015854257
62	0.7067848904	0.6971160695
63	0.7067040888	0.6939397813
64	0.7071035235	0.6912776761
65	0.7081875741	0.6889804107
66	0.7055237047	0.6860759145
67	0.7036854785	0.6848676614
68	0.7043003292	0.6828374522
69	0.7028509936	0.6813583553
70	0.7008767983	0.6786932376
71	0.7013709475	0.6757097611
72	0.7005453549	0.6739182815
73	0.6957591186	0.6716965926
74	0.7023637447	0.6685330284
75	0.7026696163	0.6659437798
76	0.7041656457	0.6629105966
77	0.703816748	0.6613123993
78	0.7067919941	0.659951719
79	0.707923431	0.6579328824
80	0.7042072387	0.6563023471
81	0.704307826	0.6543068455
82	0.7068519945	0.6517446898
83	0.7127469908	0.6499727113
84	0.7127469908	0.6481437565
85	0.7112695242	0.6467818512
86	0.7115869439	0.64557184
87	0.7142191944	0.6440171796
88	0.7145131734	0.6428168456
89	0.7159911694	0.6407796187
90	0.7139849249	0.6386916149
91	0.7139849249	0.6371392925
92	0.7135767248	0.6361051619
93	0.7136630228	0.6345015946
94	0.7163861143	0.633621603
95	0.7168515159	0.6317706934
96	0.7150455522	0.6302101814
97	0.7169163154	0.6293260455
98	0.7160576296	0.6287161916
99	0.7177593052	0.627649138
100	0.7181575099	0.6267506579
101	0.7152015504	0.6251772005
102	0.7147204187	0.6237974459
103	0.7169850635	0.6227998094
104	0.7181575099	0.6215910989
105	0.7186226014	0.6192363679
106	0.7186226014	0.6178695297
107	0.7170815835	0.616613751
108	0.7180850093	0.6155425373
109	0.7190889974	0.6143629818
110	0.7202612309	0.6137168451
111	0.7202612309	0.6127134517
112	0.7202612309	0.6125173672
113	0.7212676836	0.6123930776
114	0.7212676836	0.6113527776
115	0.7197942194	0.6096534192
116	0.7222747583	0.6094378347
117	0.7212676836	0.6081864924
118	0.7212676836	0.607789309
119	0.7210257344	0.6065341411
120	0.7202612309	0.605478703
121	0.7235025404	0.6045570025
122	0.7220337941	0.603696908
123	0.7245131891	0.6026403713
124	0.7249667577	0.6013998441
125	0.7235025404	0.6009070652
126	0.7235025404	0.6001591304
127	0.7235025404	0.5993779751
128	0.7235025404	0.5982971824
129	0.7249667577	0.5973773947
130	0.7274410049	0.5963474576
131	0.7277531861	0.5959851975
132	0.7261142657	0.5954134066
133	0.7282003478	0.5950762996
134	0.7294564442	0.5948433518
135	0.7293311705	0.5939348816
136	0.7278813153	0.5935003002
137	0.7288923989	0.592860378
138	0.7288923989	0.5919730544
139	0.7271439071	0.5918068756
140	0.7281533711	0.5917021549
141	0.7281533711	0.5912888259
142	0.7282144964	0.591174117
143	0.7272028385	0.5903301033
144	0.7267565277	0.5899062363
145	0.7310527779	0.5887070867
146	0.7307656027	0.5884900211
147	0.7283082089	0.5878347934
148	0.7311927074	0.5870558447
149	0.7297525586	0.5868639227
150	0.7298118359	0.5863399292
151	0.7283657721	0.585402951
152	0.7298118359	0.5849074431
153	0.7283657721	0.5845631024
154	0.7283657721	0.5834180535
155	0.7269765446	0.5832738446
156	0.7269154193	0.5827702211
157	0.7284286449	0.5825090716
158	0.731043566	0.5813106175
159	0.731043566	0.5811917108
160	0.7299595487	0.5802859039
161	0.730166687	0.5798902655
162	0.730166687	0.5798071774
163	0.7249581255	0.5790345587
164	0.7258953121	0.5787978987
165	0.7273531568	0.5784493971
166	0.7258953121	0.5781086472
167	0.7258953121	0.5781008746
168	0.7288066278	0.5774128606
169	0.7306818864	0.5759482023
170	0.7305957539	0.5757744088
171	0.7305957539	0.5746531666
172	0.7305957539	0.5740463543
173	0.7305957539	0.573961659
174	0.7320346818	0.5734714233
175	0.7305957539	0.5734630982
176	0.7305957539	0.5730623347
177	0.7320346818	0.5726123916
178	0.7305957539	0.5720459604
179	0.7305957539	0.5715536464
180	0.7319023472	0.5707910048
181	0.7333990819	0.5706439615
182	0.7305286192	0.5702723158
183	0.7305957539	0.5701927571
184	0.7305957539	0.5698930994
185	0.731673079	0.5695170953
186	0.731673079	0.5693054913
187	0.7323393007	0.5683719986
188	0.7323393007	0.5680399892
189	0.7323393007	0.5679316657
190	0.7349252007	0.5672210482
191	0.7349252007	0.566985309
192	0.7360681489	0.5661368159
193	0.7337798892	0.5660503686
194	0.7337798892	0.5656280893
195	0.7352163427	0.5648408969
196	0.7374937056	0.5641167189
197	0.7366487191	0.5633838162
198	0.7389152885	0.5629696371
199	0.7403329533	0.5621389649
200	0.7403329533	0.5616149272
201	0.7414576797	0.5612949474
202	0.7414576797	0.5607727799
203	0.7403329533	0.5601616238
204	0.7403329533	0.5597820693
205	0.7389152885	0.5590897826
206	0.7409508026	0.5586882863
207	0.7414576797	0.5584641801
208	0.7403329533	0.5580362069
209	0.7446275381	0.5567197085
210	0.7446275381	0.5566159423
211	0.7446275381	0.5565020062
212	0.7446275381	0.5559979161
213	0.7445651556	0.5555418713
214	0.7445651556	0.5551179797
215	0.7445651556	0.5549385011
216	0.7435004876	0.5547598218
217	0.7435004876	0.5544996854
218	0.7452395514	0.5544033148
219	0.7438242488	0.553693322
220	0.7432179669	0.553358096
221	0.7449624669	0.5531458469
222	0.7463725227	0.5522693162
223	0.7451813001	0.5519389591
224	0.7451813001	0.5513544172
225	0.7451813001	0.5512989393
226	0.7455213064	0.550323328
227	0.7455213064	0.5498147125
228	0.7455213064	0.5495688694
229	0.7466510197	0.5489138688
230	0.7465912936	0.5484216746
231	0.7465912936	0.5483786514
232	0.7477209294	0.5479155735
233	0.7477787936	0.54732896
234	0.7483238251	0.5467598341
235	0.7483238251	0.5464160123
236	0.7457713388	0.5454026303
237	0.7471865532	0.5451476835
238	0.7471865532	0.5451241834
239	0.7471865532	0.5442502461
240	0.7471865532	0.54382694
241	0.7471865532	0.5434094118
242	0.7471865532	0.5429268466
243	0.7483238251	0.542635143
244	0.7483238251	0.5419925509
245	0.7483238251	0.5416897341
246	0.7494592815	0.5410607388
247	0.750593026	0.5403608827
248	0.750593026	0.5403393362
249	0.750593026	0.5400885862
250	0.750593026	0.5397634
251	0.750593026	0.538926615
252	0.7505486921	0.5384475355
253	0.7505486921	0.5384150883
254	0.7494129018	0.5378897216
255	0.748801784	0.5370115051
256	0.749928694	0.5364076772
257	0.7516829568	0.5360715138
258	0.749928694	0.5356563993
259	0.7516829568	0.5345709065
260	0.7516829568	0.5338795287
261	0.7506872199	0.5330971387
262	0.7524225126	0.5329257275
263	0.7551852258	0.5325073929
264	0.7534627106	0.5323195426
265	0.7548550956	0.5318935482
266	0.7548150669	0.5315235179
267	0.7548150669	0.5312545125
268	0.756543244	0.5305534054
269	0.7534240577	0.5300465653
270	0.7534240577	0.5295908805
271	0.7534240577	0.5291119514
272	0.7547064694	0.5281067412
273	0.7535671688	0.5277748645
274	0.7552851369	0.5272341698
275	0.7547064694	0.5269869147
276	0.7564300573	0.5266292277
277	0.7564300573	0.5260113487
278	0.7564300573	0.5257664188
279	0.7552851369	0.5250348401
280	0.7564300573	0.5246693629
281	0.7552851369	0.5241899832
282	0.7552851369	0.5240240853
283	0.7598692689	0.5237619924
284	0.7581401331	0.5233304417
285	0.7598692689	0.5230029663
286	0.7598692689	0.5227944617
287	0.7598692689	0.5223938837
288	0.7615521568	0.5220868334
289	0.7615521568	0.5216501991
290	0.7598692689	0.5209640579
291	0.7615521568	0.5205065397
292	0.7615521568	0.5201484239
293	0.7615521568	0.5196871376
294	0.7615521568	0.519535106
295	0.7605095678	0.5187331548
296	0.7605360853	0.5181556577
297	0.7605360853	0.5178771342
298	0.7588583702	0.51730057
299	0.7605360853	0.5171011026
