iter	Passed	Remaining
0	49	14800
1	87	12992
2	124	12366
3	161	11973
4	200	11810
5	246	12088
6	282	11826
7	319	11663
8	362	11707
9	400	11607
10	438	11520
11	464	11158
12	504	11147
13	543	11100
14	564	10722
15	582	10342
16	618	10298
17	644	10101
18	682	10097
19	721	10102
20	748	9947
21	784	9915
22	821	9887
23	858	9868
24	896	9858
25	932	9823
26	968	9791
27	1003	9747
28	1038	9708
29	1074	9671
30	1111	9642
31	1149	9626
32	1185	9592
33	1221	9554
34	1259	9537
35	1296	9507
36	1331	9466
37	1357	9358
38	1392	9315
39	1426	9274
40	1461	9232
41	1496	9193
42	1521	9093
43	1558	9066
44	1596	9044
45	1631	9010
46	1667	8976
47	1703	8942
48	1741	8919
49	1778	8894
50	1816	8867
51	1853	8837
52	1889	8803
53	1926	8777
54	1960	8734
55	1997	8701
56	2033	8669
57	2069	8635
58	2105	8599
59	2143	8572
60	2169	8498
61	2204	8463
62	2241	8430
63	2276	8395
64	2312	8361
65	2348	8326
66	2385	8294
67	2420	8257
68	2455	8219
69	2491	8185
70	2526	8149
71	2563	8116
72	2599	8083
73	2636	8053
74	2672	8017
75	2708	7981
76	2745	7952
77	2785	7927
78	2822	7894
79	2857	7858
80	2894	7825
81	2929	7788
82	2971	7767
83	3009	7737
84	3043	7699
85	3078	7659
86	3110	7615
87	3144	7576
88	3177	7533
89	3209	7488
90	3242	7447
91	3280	7417
92	3314	7378
93	3350	7342
94	3383	7301
95	3416	7261
96	3449	7219
97	3481	7176
98	3515	7136
99	3548	7096
100	3589	7072
101	3622	7032
102	3655	6992
103	3688	6951
104	3720	6908
105	3752	6868
106	3786	6830
107	3823	6796
108	3856	6757
109	3888	6716
110	3922	6679
111	3958	6644
112	3992	6607
113	4027	6570
114	4065	6540
115	4100	6505
116	4136	6470
117	4172	6435
118	4210	6403
119	4244	6367
120	4280	6332
121	4314	6294
122	4349	6259
123	4385	6224
124	4418	6186
125	4453	6150
126	4489	6115
127	4524	6079
128	4559	6044
129	4594	6008
130	4642	5989
131	4677	5953
132	4713	5918
133	4751	5886
134	4789	5854
135	4831	5826
136	4869	5793
137	4905	5758
138	4944	5727
139	4978	5689
140	5014	5655
141	5050	5619
142	5083	5581
143	5123	5549
144	5158	5514
145	5196	5480
146	5232	5445
147	5266	5409
148	5302	5373
149	5338	5338
150	5373	5302
151	5408	5265
152	5441	5228
153	5459	5176
154	5494	5139
155	5527	5102
156	5562	5066
157	5598	5031
158	5634	4996
159	5668	4960
160	5707	4927
161	5746	4894
162	5781	4859
163	5815	4822
164	5848	4785
165	5884	4750
166	5918	4713
167	5938	4666
168	5975	4631
169	6010	4596
170	6045	4560
171	6079	4524
172	6114	4488
173	6152	4455
174	6188	4420
175	6213	4377
176	6248	4342
177	6282	4306
178	6317	4270
179	6350	4233
180	6384	4197
181	6419	4162
182	6454	4126
183	6495	4094
184	6530	4059
185	6567	4025
186	6603	3990
187	6642	3956
188	6678	3922
189	6714	3887
190	6747	3850
191	6783	3815
192	6824	3783
193	6859	3747
194	6895	3712
195	6929	3677
196	6968	3643
197	7004	3608
198	7040	3573
199	7076	3538
200	7112	3503
201	7146	3467
202	7183	3432
203	7218	3396
204	7254	3361
205	7291	3327
206	7326	3291
207	7362	3256
208	7399	3221
209	7437	3187
210	7472	3152
211	7508	3116
212	7543	3081
213	7578	3045
214	7615	3010
215	7650	2975
216	7686	2940
217	7721	2904
218	7756	2868
219	7790	2832
220	7825	2797
221	7861	2762
222	7896	2726
223	7931	2690
224	7966	2655
225	8001	2619
226	8035	2583
227	8068	2548
228	8104	2512
229	8141	2477
230	8175	2442
231	8211	2406
232	8249	2372
233	8291	2338
234	8326	2303
235	8362	2267
236	8399	2232
237	8435	2197
238	8473	2162
239	8509	2127
240	8548	2092
241	8584	2057
242	8618	2021
243	8655	1986
244	8689	1950
245	8722	1914
246	8755	1878
247	8788	1842
248	8823	1807
249	8858	1771
250	8893	1736
251	8925	1700
252	8957	1663
253	8989	1627
254	9021	1592
255	9054	1556
256	9091	1521
257	9125	1485
258	9160	1450
259	9195	1414
260	9229	1379
261	9264	1343
262	9301	1308
263	9339	1273
264	9376	1238
265	9410	1202
266	9445	1167
267	9479	1131
268	9517	1096
269	9554	1061
270	9590	1026
271	9626	990
272	9687	958
273	9724	922
274	9764	887
275	9802	852
276	9852	818
277	9890	782
278	9929	747
279	9966	711
280	10003	676
281	10056	641
282	10095	606
283	10140	571
284	10187	536
285	10227	500
286	10263	464
287	10357	431
288	10395	395
289	10441	360
290	10494	324
291	10538	288
292	10580	252
293	10623	216
294	10663	180
295	10702	144
296	10751	108
297	10790	72
298	10829	36
299	10870	0
